checkpoint,metric,n_paired_seeds,median_raw_diff,raw_diff_ci95_low,raw_diff_ci95_high,raw_diff_wilcoxon_p,median_delta_default,delta_default_ci95_low,delta_default_ci95_high,median_delta_coupled,delta_coupled_ci95_low,delta_coupled_ci95_high,median_delta_delta,delta_delta_ci95_low,delta_delta_ci95_high,delta_delta_wilcoxon_p
12000,phi_r_g,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18000,phi_r_g,30,0.10015842566967981,-0.08153406017050102,0.2514982802198912,0.25343610532581806,-0.18973644284682223,-0.4160577930742386,-0.036113143905544653,-0.19965795219556215,-0.4303603097872253,0.12465951583439372,0.10015842566967981,-0.0786793308474647,0.2514982802198912,0.25343610532581806
24000,phi_r_g,30,0.048447139059591526,-0.04499647343428981,0.18818668121892868,0.4399667661637068,-0.07984020962918192,-0.2718028333478004,0.017362880364472644,-0.05660648590590567,-0.4272269873161735,0.11431205334651562,0.048447139059591526,-0.04499647343428981,0.18818668121892868,0.4399667661637068
30000,phi_r_g,30,0.14943854464176698,0.03877038727925752,0.2432694715767355,0.0061949919909238815,-0.18934963971112684,-0.48771176116190373,-0.07785121705188769,-0.0686630881860879,-0.3843168976700285,0.14229734977575392,0.14943854464176698,0.03877038727925752,0.2432694715767355,0.0061949919909238815
36000,phi_r_g,30,0.0707618778582012,-0.062745589182571,0.2598546739421903,0.4771064817905426,-0.2688835137198269,-0.45414300012359077,-0.11088858418134495,-0.13597938950424715,-0.4559174031902261,0.08383993196524564,0.0707618778582012,-0.062745589182571,0.2598546739421903,0.4771064817905426
42000,phi_r_g,30,0.1641207383026081,-0.015959018347563525,0.3335392701242912,0.036434996873140335,-0.34605332469799666,-0.5071747027084539,-0.22492540410540818,-0.10869117668554762,-0.4310937181162925,0.0984872779352245,0.1641207383026081,-0.015959018347563525,0.3335392701242912,0.036434996873140335
48000,phi_r_g,30,0.13634116943870567,0.04018151325574437,0.27599775995809783,0.004031794145703316,-0.3136847265564904,-0.5340870496100694,-0.18904676066076598,-0.19844901763111933,-0.2546035652922749,0.07797832885441469,0.13634116943870567,0.04018151325574437,0.27599775995809783,0.004031794145703316
12000,group_decoupling_g,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18000,group_decoupling_g,30,-0.13250740056641008,-0.40324140781701245,0.43464623764466914,0.8871948085725307,-0.3967773776522402,-0.575661271086131,-0.1616456721722489,-0.32953096315788954,-0.6680283379571952,-0.19619210953638377,-0.13250740056640997,-0.40324140781701245,0.43464623764466914,0.8871948085725307
24000,group_decoupling_g,30,-0.12955332998830793,-0.5442555682132533,0.1756073640285667,0.308520769700408,-0.11893814502070754,-0.5610071511538272,0.011177540115503537,-0.43175185501759694,-0.6703315951880418,-0.11910801424817907,-0.12955332998830793,-0.5442555682132533,0.1756073640285667,0.308520769700408
